X;Y;osm_id;type;name;brand;operator;wheelchair
4.8496792;45.7631195003776;node/7558399616;shoemaker;Cordonnerie des halles;;;yes
4.8264445;45.7545227003789;node/7560052757;bicycle;Cycles Marchi L'Atelier;;;
4.8266294;45.7544094003789;node/7560073751;bicycle;Cycles Marchi la Boutique;;;
4.8264798;45.7545620003788;node/7560080953;musical_instrument;Atelier Christophe Devillaire;;;
4.828411;45.7571202003785;node/7560138450;dressmaker;Ousia;;;
4.8271693;45.7551688003787;node/7560138819;art;Galerie Jean-Louis Mandon;;;
4.8280101;45.7565795003786;node/7560148092;antiques;Thierry Roche;;;
4.8342954;45.7612128003779;node/7566381898;leather;Lisette Pizzi;;;
4.8345276;45.7611065003779;node/7566406828;bag;Gandy;;;
4.8350172;45.7611097003779;node/7566422580;art;YellowKorner;YellowKorner;;
4.8346697;45.7610959003779;node/7566436763;art;Carré d'Artistes;;;
4.8690506;45.7442840003803;node/7573415025;art;Cadres & Toiles;;;yes
4.8379455;45.7648488003774;node/7578542939;flooring;Parquet Chêne Massif;;;
4.8324673;45.7660037003772;node/7578672356;deli;Voie Verte;;;
4.8322681;45.7661537003772;node/7578681547;craft;Arts 2000;;;
4.8325239;45.7661800003772;node/7578686884;frame;Arts 2000 Encadrement;;;
4.8313644;45.7658890003772;node/7578712010;florist;Bohème;;;
4.8269759;45.7683584003769;node/7580980807;art;À Chacun Sa Toile;;;
4.8329069;45.7637242003776;node/7610180617;candles;Candle Store;;;
4.8339532;45.7641819003775;node/7610196675;art;Galerie Em'Arts;;;
4.8349523;45.7647548003774;node/7610292167;craft;La Marchande de Couleurs;;;
4.8351816;45.7649388003774;node/7610308939;nutrition_supplements;Natur House;;;
4.8347231;45.7664960003772;node/7610339883;art;Galerie Lumière;;;
4.8329517;45.7653294003773;node/7610347447;tailor;Le Comptoir du Tailleur et du Couturier;;;
4.8353165;45.7651823003774;node/7610349501;shoemaker;Prosper Artisan Bottier;;;
4.8339752;45.7654412003773;node/7610358761;art;Sans Contrefaçon;;;
4.8334914;45.7655238003773;node/7610379037;tailor;Atelier Pléney;;;
4.8271402;45.7614847003779;node/7625675029;fabric;Soierie Saint-George;;;no
4.8322747;45.7798410003753;node/7643579550;greengrocer;Maison Courgette;;;
4.8421515;45.7595504003781;node/7667511578;flooring;Décoplus Parquet;;;
4.8411582;45.7596581003781;node/7667532452;carpet;La Maison du Tapis;;;
4.8373324;45.7710438003765;node/7672640488;leather;Sage Folie;;;
4.8424901;45.7572983003784;node/7674804856;second_hand;La Boutique Armée du Salut;;;
4.833979;45.7697233003767;node/7787803895;pottery;Cica Gomez Ceramics;;;
4.8419581;45.7636736003776;node/7817683886;greengrocer;Cerise et Potiron Sarrail;Cerise et Potiron;;
4.8438517;45.7542237003789;node/7844171710;deli;Africa Musso;;;
4.8432556;45.7545511003788;node/7844196654;deli;Mama Angélique;;;
4.8638108;45.7646654003774;node/7847450172;alcohol;Bellecave;;;
4.8361888;45.760307400378;node/7858851213;deli;C Gastronomie;C Gastronomie;;
4.8420589;45.760298500378;node/7858937569;paint;Farrow & Ball;;;limited
4.8412356;45.760356300378;node/7858968463;bicycle;Giant;Giant;;
4.8422535;45.7619594003778;node/7858999426;paint;Sikkens Solutions;;;
4.841537;45.7614539003779;node/7859004008;shoemaker;Archer;;;
4.8417686;45.7620891003778;node/7859020510;art;Galerie Nuances et Lumière;;;
4.8425149;45.7635012003776;node/7869380282;deli;La Cambuse;;;
4.8426045;45.7635019003776;node/7869432975;bicycle;Repair and run;;;
4.8463108;45.7637298003775;node/7869457455;paint;Farrow & Ball;;;
4.8459753;45.7597975003781;node/7873770910;alcohol;La Cave Papilles;;;
4.8459968;45.7597248003781;node/7873784382;flooring;Fiandre;;;
4.8532652;45.7697035003767;node/7890718516;florist;Émilien & Coralie;;;
4.8533336;45.7697100003767;node/7890720522;alcohol;Cavavin;;;limited
4.8517666;45.7695155003767;node/7890740753;tea;Cha Yuan;;;
4.8520519;45.7695370003767;node/7890742342;alcohol;Nysa;;;
4.8516701;45.7695040003767;node/7890742710;alcohol;Nicolas;Nicolas;;
4.8341736;45.7690781003768;node/7891342421;brewery;Beer Fabrique;;Beer Fabrique;
4.8296165;45.7521978003792;node/7944389335;collector;Bourse aux Timbres;;;
4.8590071;45.7699547003767;node/7958898485;chocolate;Palomas - Haute chocolaterie;;;
4.85342;45.7694479003767;node/7958946405;shoemaker;Cordonnier-Botterie Jean;;;
4.8532526;45.7694257003767;node/7958953978;greengrocer;Terres Lyonnaises;;;
4.8310983;45.774590300376;node/7973598176;greengrocer;Terres lyonnaises;;;
4.8557974;45.7696642003767;node/7980687166;garden_centre;Nature Fleurs Isabelle Chermet;;;
4.850974;45.7692704003768;node/7980756320;leather;Gavroche;;;
4.7868546;45.7864865003743;node/7988297070;tool_hire;HYDREKA;;HYDREKA;
4.8501995;45.760390800378;node/7997549503;shoemaker;Cordonnerie artisanale Daniel Meunier;;;
4.8501713;45.7694122003767;node/8024608885;garden_centre;Des Fleurs, des Saisons;;;
4.828332;45.7642317003775;node/8046871685;deli;Le Sirop de la Rue;;;
4.8276416;45.7595700003781;node/8091474196;greengrocer;Cerise et Potiron;Cerise et Potiron;;
4.8272322;45.7594622003782;node/8091588633;shoemaker;Cordonnerie Vieux Lyon;;;
4.8270303;45.7594776003782;node/8091595419;second_hand;Broc-Jo;;;
4.8283512;45.7609480003779;node/8094422521;art;Vis'Art;;;
4.8270867;45.7613874003779;node/8094440913;confectionery;The Pirates Candies;;;
4.8271524;45.7615819003778;node/8094445467;chocolate;Bruno Saladino;;;
4.8277343;45.7628182003777;node/8098192431;art;Le Bois Debout;;;limited
4.8281604;45.7632185003776;node/8098211512;art;Mazarini;;;
4.8282885;45.7624155003777;node/8098215115;leather;Art Peaux Création;;;
4.827952;45.7629793003777;node/8098219729;confectionery;Saint Jean Délices;;;yes
4.8280018;45.7631310003776;node/8098220030;deli;Le Comptoir de Mathilde;;;yes
4.8278431;45.7630099003777;node/8098222824;candles;Les Bougies de Charroux;;;no
4.8278762;45.7631180003776;node/8098223085;art;;;;
4.828482;45.7631430003776;node/8098234732;alcohol;Bmd;;;
4.8283462;45.7625448003777;node/8098265774;art;André Berthet;;;
4.8273076;45.7625918003777;node/8104288185;cheese;Crémerie;;;
4.8272595;45.7629460003777;node/8104294649;alcohol;La Chope de Lug;;;
4.8271188;45.7629233003777;node/8104313887;art;Galerie de la Tour;;;
4.8280273;45.7636066003776;node/8104346701;art;Galerie d'Art Tomie Clément;;;yes
4.8280212;45.7635580003776;node/8104377454;deli;L'Épicerie Artisanale du Vieux Lyon;;;yes
4.8281034;45.7634982003776;node/8104390208;frame;Annie Bonjour-Montcharmont;;;
4.8443054;45.7684926003769;node/8105150168;leather;Arthur & Aston;;;
4.8481065;45.7689500003768;node/8105374103;alcohol;Cave Roosevelt;;;
4.8481921;45.7689557003768;node/8105374104;deli;L'Épicerie Comptoir Mère Brazier;;;
4.8253707;45.7583940003783;node/8108852990;art;Galerie Atelier Damin;;;
4.8254684;45.7586117003783;node/8108853151;art;L'Atelier des Ombres;;;no
4.8254613;45.7580946003783;node/8108855734;dressmaker;Idées couture;;;
4.8253109;45.7585042003783;node/8108864432;musical_instrument;Third Eye;;;
4.8246539;45.7570144003785;node/8108979356;art;Galerie 41;;;
4.824589;45.7571142003785;node/8108980126;art;Un air d'Océanie;;;
4.8246346;45.7571808003785;node/8108983054;art;Circle Foundation;;;
4.8422723;45.7694130003767;node/8109637307;health_food;Herbory Story's;;;
4.8442172;45.7661468003772;node/8109830288;florist;Les Fleurs de Marie;;;
4.8669293;45.7448323003802;node/8112394466;tea;Dammann Frères Lyon 2 Lumières;Dammann Frères;;
